 18, 27, 34, 60,
 18, 26, 38, 78,
 11, 27, 35, 65,
  2, 20, 51,  0,
 12, 26, 32, 67,
 13, 25, 34,  4,
 10, 26, 32,  3,
 21, 22, 55,  9,
  7, 22, 58, 11,
 17, 27, 39, 75,
  7, 22, 51,  4,
 22, 20, 54,  3,
  8, 22, 58, 67,
 21, 21, 57, 19,
 20, 22, 51, 11,
 11, 26, 35, 70,
 19, 20, 56,  2,
 15, 26, 38,  8,
 22, 22, 59, 12,
 15, 25, 31, 15,
 21, 20, 53,  6,
 11, 25, 30, 66,
  9, 27, 38, 64,
 16, 27, 33, 19,
 11, 27, 32, 69,
  6, 20, 55,  0,
  8, 20, 54, 70,
 10, 27, 33,  8,
  6, 22, 54,  0,
 17, 25, 39, 77,
 22, 20, 52,  8,
 19, 22, 56, 17,
 24, 20, 54, 13,
  5, 22, 50,  0,
 22, 21, 56, 12,
  4, 22, 57,  0,
 10, 26, 37, 15,
 16, 27, 39, 11,
 15, 27, 38,  4,
 11, 27, 30, 73,
  9, 25, 31, 62,
 24, 21, 59,  6,
 18, 27, 33, 75,
 10, 27, 30, 13,
 21, 22, 50, 18,
 22, 20, 59, 10,
  5, 21, 54,  0,
  6, 21, 58,  0,
  3, 20, 58,  0,
  8, 22, 58, 73,
  1, 21, 57,  0,
 22, 20, 57, 15,
 11, 27, 36, 75,
  4, 22, 59,  0,
  8, 22, 58, 63,
  9, 26, 34, 69,
 14, 27, 35,  7,
 22, 20, 53,  9,
 11, 27, 38, 60,
 19, 20, 50, 18,
 15, 27, 39, 20,
  2, 21, 52,  0,
  7, 21, 52, 20,
 12, 26, 37, 78,
 24, 20, 58, 18,
 16, 27, 34, 14,
 16, 25, 36,  4,
 15, 27, 33, 11,
  7, 20, 56,  3,
  7, 22, 51,  3,
 12, 27, 36, 72,
  6, 22, 52,  0,
  9, 27, 33, 69,
  6, 20, 51,  0,
 22, 20, 53,  4,
  2, 22, 55,  0,
 17, 26, 37, 77,
 17, 27, 39, 74,
 18, 27, 36, 69,
 17, 25, 35, 75,
  3, 21, 51,  0,
  9, 26, 30, 78,
 10, 27, 33, 21,
  5, 21, 59,  0,
 14, 26, 36, 11,
  2, 22, 57,  0,
 17, 27, 35, 68,
 11, 27, 34, 74,
 14, 27, 31,  8,
 24, 22, 55,  7,
 14, 25, 38, 14,
 18, 27, 36, 61,
 23, 20, 52,  3,
 17, 25, 32, 69,
  2, 20, 50,  0,
 14, 27, 34, 21,
 13, 25, 33,  6,
 19, 22, 55, 11,
 11, 25, 34, 62,
  9, 27, 37, 65,
  7, 22, 52,  7,
  6, 21, 54,  0,
  1, 20, 54,  0,
 13, 27, 33, 12,
 24, 21, 58, 19,
 14, 27, 33, 10,
  9, 27, 32, 60,
  6, 21, 52,  0,
 20, 22, 55,  5,
  5, 21, 52,  0,
  6, 20, 53,  0,
  1, 20, 53,  0,
 22, 22, 52,  4,
 15, 27, 34,  2,
 12, 27, 33, 74,
 15, 26, 35, 15,
  8, 22, 56, 67,
 14, 26, 30, 16,
  8, 20, 59, 65,
  9, 26, 38, 62,
 20, 22, 58, 15,
 20, 22, 58,  6,
 24, 21, 50,  9,
  5, 20, 50,  0,
  6, 21, 55,  0,
  1, 22, 53,  0,
  7, 20, 59,  4,
 23, 20, 57, 19,
  3, 20, 57,  0,
 14, 27, 33,  2,
 15, 26, 33, 18,
 18, 26, 35, 65,
 17, 26, 32, 76,
 15, 26, 31, 13,
  4, 22, 53,  0,
 17, 25, 34, 68,
 20, 22, 51,  4,
  6, 20, 53,  0,
 23, 21, 55,  9,
  6, 20, 58,  0,
  8, 22, 50, 77,
 21, 20, 58, 15,
  8, 21, 50, 60,
 13, 25, 34,  7,
 13, 26, 34, 17,
  5, 20, 50,  0,
  8, 21, 56, 76,
 19, 20, 56, 19,
 10, 25, 39,  3,
  9, 27, 37, 72,
